Transaction_ID,Date,Customer_Name,Account_Number,Account_Type,Transaction_Type,Amount,Currency,Balance_After,Channel,Status,Category,Merchant_Name,Bank_Name,Phone_Number,Transaction_Ref,City,Remarks
TXN12180,12 Nov 2023,Rajesh Patel,AC9652612166,SAVINGS,D,"19,300.00",INR,227923.54,pos,REVERSED,Entertainment,SWIGGY,Kotak,+913684143446,REF80749053,Kanpur,
TXN14123,08-27-2023,Amit Kumar,XXXX4036,current,cr,INR 32075.0,Rs,129760.25,Branch,Success,utilities,BigBazaar,Yes Bank,8173116012,REF36036082,DELHI,
TXN16782,"March 03, 2023",Meena Iyer,AC49584325325033,Fixed Deposit,DEBIT,142364.0/-,INR,241768.06,ONLINE,Pending,SALARY,Zomato,Yes Bank,98152-70524,REF43716552,BANGALORE,
TXN10864,2023/07/03,Anjali Rao,AC763643159489,current,Credit,"103,516.18",INR ,437454.84,POS,FAILED,Food,Netflix,Canara,+91-9939344974,N/A,Surat,Duplicate entry
TXN10880,20/09/2024,rahul sharma,AC7403925199,current,Credit,224355.0/-,Rs,246622.77,MOBILE,pending,N/A,Flipkart,Canara,+91-5496330833,REF47048878,null,
TXN16397,23/04/2024,Meena Iyer,****7110,Current,credit,Rs.204205.38,INR,189895.4,Mobile,REVERSED,MEDICAL,PhonePe,BOB,8353113407,REF09843932,Bhubaneswar,Online purchase
TXN15320,28/05/23,Arjun Bose,5287 8747 32643534,Current,cr,Rs.160464.0, INR,346522.34,upi,FAILED,Entertainment,PhonePe,HDFC,,REF06684481,Nagpur,-
TXN12507,20 Oct 2023,Meena Iyer,AC92615283056820,Fixed Deposit,C,INR 125582.0,INR,65558.18,NA,Reversed,Transfer,Uber,Union Bank,3027929902,REF02279825,Kanpur,Duplicate entry
TXN12318,18 Oct 2023,Sunita Devi,XXXX8819,FD,credit,Rs.141618.0,Inr,65159.13,ATM,pending,Shopping,DMart,SBI,0867522624,REF52893281,Ahmedabad,UPI payment
TXN13017,26/02/23,Meena Iyer,6284 3237 6035,savings,Debit,INR 71467.27,Rs,143993.34,Mobile,Failed,SALARY,NA,AXIS,2756175834,REF73098181,Kanpur,Bill payment
TXN17204,2023/11/16,Pooja Joshi,XXXX0000,FD,C,249463.38,inr,282461.55,online,NA,GROCERY,N/A,Union Bank,07743360971,REF15258804,CHENNAI,-
,"September 13, 2023",Meena Iyer,XXXX9251,Salary,CR, 14637.0 ,NULL,53372.76,ONLINE,SUCCESS,Insurance,Myntra,BOB,N/A,REF17444016,Pune,Duplicate entry
TXN16715,28/03/2023,AMIT KUMAR,AC65868045336122,SALARY,Credit,₹181311.0,rs,83198.98,IMPS,REVERSED,Medical,N/A,Kotak,00281244963,REF97814277,Ahmedabad,N/A
TXN15593,23 Nov 2024,Rajesh Patel,3458126917410745,current,C,₹19952.0,Rs,NA,MOBILE,-,OTHERS,Myntra,SBI,+915300030145,REF44142551,Surat,UPI payment
TXN15364,15 Jul 2024,Vikram Mehta,****2966,CURRENT,Debit,26989, INR,164278.16,MOBILE,SUCCESS,emi,PhonePe,ICICI,09356768403,REF14179073,CHENNAI,Bill payment
TXN10368,07-02-2023,Rahul Sharma,AC10261534735528,SAVINGS,credit,47960.74, INR,-,branch,FAILED,Rent,Self,ICICI,97317-91286,REF57872558,Cuttack,Duplicate entry
TXN17779,03-17-2023,Ravi Chauhan,****1707,current,debit, 189255.0 ,INR ,399572.17,UPI,N/A,Utilities,Netflix,HDFC,N/A,REF96045191,MUMBAI,Refund
TXN16179,18/08/2024,Arjun Bose,****9736,SALARY,credit,"224,413.03",INR ,250924.15,Online,Success,SHOPPING,SWIGGY,PNB,+91-2443824993,REF26893378,DELHI,ATM cash
TXN17481,10-03-2023,Suresh Reddy,61009440904410,Fixed Deposit,CREDIT,221650,Rs.,44006.62,MOBILE,pending,MEDICAL,Zomato,AXIS,+91-6305152442,REF39952811,PUNE,-
TXN13371,2024/12/23,RAHUL SHARMA,6856 4492 55933488,CURRENT,NULL, 237802.72 ,INR ,354318.33,Pos,Reversed,utilities,SELF,PNB,,REF75269685,Chennai,Self transfer
txn13715,04-04-2024,Deepak Nair,AC4022695620,Fixed Deposit,C,INR 20040.0,Rs,281952.31,POS,PENDING,FOOD,Swiggy,HDFC,05175309720,REF81820412,Nagpur,Bill payment
TXN12359,17/12/24,Sunita Devi,7501 5438 578180,CURRENT,C,199786,inr,136278.84,pos,PENDING,Grocery,Ola,Canara,06668854553,REF37766599,Nagpur,Bill payment
TXN17682,"July 02, 2024",Sunita Devi,1452 1891 97386033,SALARY,DR,₹55823.0,Rs.,N/A,MOBILE,FAILED,OTHERS,AMAZON,ICICI,36968-16754,REF27178138,Chennai,UPI payment
TXN17340,10-06-2024,null,****0839,savings,Credit, 44396.0 ,Inr,377914.32,Mobile,FAILED,Insurance,NA,Kotak,03958773550,REF04458047,Bhubaneswar,N/A
TXN16870,06 Oct 2023,Neha Gupta,XXXX2854,Fixed Deposit,DR,Rs.59557.0,Rs,173586.17,UPI,SUCCESS,Medical,PayTM,BOB,N/A,REF90280484,Chennai,Duplicate entry
TXN16590,"January 10, 2024",Neha Gupta,XXXX7173,SALARY,Debit,74655,Rs.,414850.13,Pos,FAILED,RENT,N/A,Canara,+916489219091,REF58365799,Nagpur,null
TXN18082,10/03/2024,Rahul Sharma,4834 7927 82207590,SALARY,Credit,20303.19,Rs,411591.57,upi,failed,OTHERS,SELF,ICICI,01802181847,REF84030634,Kanpur,ATM cash
TXN13072,04-07-2023,rahul sharma,****1204,FD,CR,"152,353.31",Rs.,163537.49,NEFT,SUCCESS,Utilities,Swiggy,null,,REF80778336,Jaipur,
TXN15690,03-14-2023,Arjun Bose,****3842,SALARY,Debit,Rs.242066.0,inr,423017.46,IMPS,Completed,Food,PhonePe,Yes Bank,05434-94103,REF62552926,Delhi,ATM cash
TXN15237,11-19-2023,Sunita Devi,XXXX5466,FD,CR, 54470.59 ,Rs,129901.86,IMPS,-,Insurance,DMART,PNB,88435-11099,REF59895679,Bangalore,NA
TXN13817,"June 24, 2024",Sunita Devi,AC6741671239,SAVINGS,C, 156572.45 ,Inr,303393.57,MOBILE,PENDING,Others,N/A,Canara,05235637108,REF33561308,Kolkata,Duplicate entry
TXN11013,06-08-2024,Meena Iyer,AC46623236066799,FD,Credit,INR 141758.56,INR,93811.63,BRANCH,Pending,null,UBER,Union Bank,+919962356999,REF99833587,Ahmedabad,Salary credit
TXN12121,21/07/23,Vikram Mehta,387895919053,CURRENT,CR,86424,Inr,91770.09,null,Success,Food,PhonePe,Kotak,+91-6747529148,REF65086922,Mumbai,UPI payment
TXN17705,30 Apr 2024,Amit Kumar,6508 6313 00,Current,debit,205727.0/-,Inr,101960.54,online,pending,emi,Flipkart,BOB,,REF26933833,Nagpur,Refund
TXN14691,2024/12/25,Suresh Reddy,****5962,Savings,CREDIT,110395.0,rs,299259.87,ONLINE,Pending,EMI,null,BOB,+91-4489877498,REF85067814,Jaipur,ATM cash
TXN15864,23/05/2023,Sanya Malhotra,5965 1882 3793,Current,CR,27219.0/-,INR,448556.16,IMPS,SUCCESS,RENT,UBER,ICICI,01837890462,REF13220400,Lucknow,ATM cash
TXN11087,02-04-2024,Anjali Rao,9664 1475 33,current,CR, 237245.61 ,rs,281035.31,IMPS,REVERSED,Medical,NETFLIX,ICICI,06792415712,REF38354346,Surat,Online purchase
TXN14141,05-10-2024,RAJESH PATEL,4221991431509707,Savings,CREDIT,₹160945.0,NA,201951.17,Mobile,Failed,utilities,PAYTM,Kotak,09932840078,REF93132419,MUMBAI,Test txn
TXN13622,"December 04, 2024",Meena Iyer,8245609432,Current,credit,"198,575.00",rs,136391.28,UPI,Failed,EMI,Zomato,Union Bank,+91-2196573515,REF96066076,Cuttack,ATM cash
TXN16510,04-07-2023,Meena Iyer,****2077,savings,debit,INR 97994.0,rs,403147.03,POS,Pending,GROCERY,N/A,Yes Bank,+913796538922,REF14858521,Jaipur,ATM cash
TXN15565,28/03/23,Anjali Rao,XXXX5491,Current,D,Rs.188406.15,Rs,370367.86,Mobile,FAILED,Others,-,ICICI,61550-97612,REF43732157,Jaipur,Loan EMI
TXN11569,19/10/2023,rahul sharma,69939142652012,CURRENT,credit,₹225548.0, INR,312496.42,Branch,Reversed,ATM Withdrawal,SELF,Yes Bank,6449153218,REF13085231,Lucknow,Online purchase
TXN14994,13-04-2023,Amit Kumar,4684 3895 4771,Savings,CREDIT,211488,Rs.,133159.92,POS,REVERSED,Rent,PAYTM,Union Bank,N/A,REF55810390,Kanpur,
TXN10834,06/09/2023,Amit Kumar,1667 3290 45,FD,dr,Rs.214310.0, INR,198225.43,Mobile,success,Others,Uber,ICICI,+917709207115,REF80236219,BANGALORE,Refund
TXN11258,27/06/24,RAJESH PATEL,3623 3470 40,Salary,CR,24049.2/-,rs,63118.29,pos,Success,Salary,Netflix,Canara,7039610175,REF01706794,Cuttack,
TXN15432,31 Jul 2023,Sunita Devi,AC34120741132842,Salary,CREDIT,INR 146427.0,null,290511.8,upi,FAILED,Salary,-,BOB,4550257176,REF14621445,Kanpur,Self transfer
TXN12683,08-10-2024,Ravi Chauhan,3677639663527360,SALARY,CREDIT,Rs.162801.0,rs,287280.32,UPI,success,Entertainment,Self,SBI,07988618256,NULL,BANGALORE,ATM cash
TXN16435,"December 16, 2024",Deepak Nair,XXXX8727,savings,Credit,170688.0,Inr,278445.13,pos,SUCCESS,Others,N/A,BOB,,REF36847715,N/A,Duplicate entry
TXN13190,07/09/2024,Meena Iyer,2853 3736 2305,Savings,CR,Rs.228725.0,INR ,387172.93,online,Pending,SALARY,UBER,PNB,+918742243490,REF42692634,Lucknow,ATM cash
TXN14731,2024/07/27,Arjun Bose,AC2864551881431332,SAVINGS,D,117354.0/-,INR ,330013.59,online,Failed,Food,Zomato,PNB,N/A,REF70734332,Bangalore,
TXN10937,2023/08/24,Pooja Joshi,XXXX6220,savings,C,234703.0,NULL,,ATM,Pending,emi,UBER,Yes Bank,0088991141,REF09169232,Hyderabad,
TXN11677,2024/09/06,Suresh Reddy,AC6379829305577979,Current,N/A,179987.0,rs,365151.88,N/A,Failed,SALARY,Ola,ICICI,08696609635,REF60751210,Kolkata,Bill payment
TXN14961,02-21-2023,Meena Iyer,3295 1707 67,current,CREDIT,Rs.166532.0, INR,452875.64,UPI,Reversed,OTHERS,Ola,Yes Bank,+91-2631068154,REF44523764,Ahmedabad,Self transfer
TXN13895,"August 21, 2023",Suresh Reddy,0092 9969 5280,SALARY,CR,130957,Rs,230462.08,Pos,failed,Food,Netflix,Yes Bank,,REF12811018,Delhi,Test txn
TXN11762,"October 22, 2024",RAHUL SHARMA,AC46167946778189,Current,C,₹218284.0,INR ,293301.87,ONLINE,pending,Shopping,Self,SBI,47377-96263,REF65499779,Cuttack,Test txn
TXN12340,"January 18, 2024",Rahul Sharma,-,savings,dr,240452.0,INR ,422882.86,IMPS,REVERSED,Medical,PhonePe,Yes Bank,33933-83387,REF83868982,DELHI,Online purchase
TXN13521,04-05-2024,Suresh Reddy,XXXX2595,current,cr,"34,850.00",INR ,490053.63,NEFT,Reversed,INSURANCE,DMART,SBI,08102703646,REF61052723,Cuttack,ATM cash
TXN14877,2024/11/06,Sanya Malhotra,1696 5038 2052,NA,CREDIT,"115,923.00",Rs.,335571.61,BRANCH,failed,Medical,-,Yes Bank,N/A,REF29885774,NA,Salary credit
TXN11107,06-15-2023,Rajesh Patel,XXXX7528,FD,Debit,₹68266.0,inr,445063.52,online,failed,Rent,NA,ICICI,89206-41578,N/A,DELHI,
TXN12935,05/03/2024,Rahul Sharma,AC8805749875,CURRENT,CREDIT,190810.0/-,rs,299587.73,Mobile,FAILED,EMI,NETFLIX,Kotak,N/A,REF14578245,Ahmedabad,Loan EMI
TXN13217,"July 24, 2023",Meena Iyer,3420 5668 073526,Salary,credit,235361,INR,,MOBILE,REVERSED,OTHERS,BigBazaar,HDFC,+919500987264,REF71675205,Pune,Self transfer
txn12245,05-07-2024,Rajesh Patel,AC765348024966,savings,dr,INR 86305.0,INR,56839.79,Pos,FAILED,INSURANCE,DMART,SBI,00518703221,REF75990254,Nagpur,Refund
TXN12244,07/06/23,Rajesh Patel,****5356,SAVINGS,cr,47354.0/-, INR,489892.69,BRANCH,Success,SALARY,Zomato,ICICI,1759145090,REF39572869,Pune,Test txn
TXN16455,26-02-2024,Ravi Chauhan,AC7256926718720465,FD,CREDIT, 96232.0 ,NA,212541.9,Mobile,REVERSED,RENT,Ola,ICICI,+912096640877,REF52513373,Kanpur,Bill payment
TXN16442,"March 31, 2024",Vikram Mehta,6255 8023 60,Savings,cr,INR 22401.0,Inr,297558.73,null,SUCCESS,Transfer,SELF,Canara,09551790356,REF93401277,Lucknow,Salary credit
TXN11927,"May 31, 2024",Rahul Sharma,AC6405997430878037,current,debit,31724.46,inr,477386.21,online,Completed,Others,FLIPKART,HDFC,N/A,REF17827305,Nagpur,Loan EMI
TXN11736,06/04/2023,RAJESH PATEL,AC4754737704990967,CURRENT,DR,84131.18/-, INR,464802.29,null,Failed,Utilities,,SBI,+910417569430,REF18877169,Ahmedabad,Salary credit
TXN14610,04-06-2023,Deepak Nair,9157 2652 13,savings,debit,222626,Rs.,490896.45,Pos,Pending,Insurance,SWIGGY,HDFC,91882-43675,REF00662277,Bangalore,Bill payment
TXN16624,15 May 2024,Ravi Chauhan,AC4216054882360229,savings,DR, 163283.77 ,INR,299550.92,branch,pending,EMI,UBER,HDFC,95317-28539,REF90579303,Ahmedabad,Bill payment
TXN16960,02-05-2023,Rahul Sharma,XXXX0580,Fixed Deposit,CR,248763.0,Inr,337678.49,branch,failed,Food,BigBazaar,BOB,+91-3096292349,REF91357294,Bangalore,
TXN16116,"July 02, 2024",N/A,****1585,CURRENT,D,Rs.120799.0,inr,479840.82,MOBILE,REVERSED,ATM Withdrawal,null,HDFC,5512049956,REF05070202,Pune,ATM cash
TXN10589,"February 01, 2024",RAJESH PATEL,XXXX5389,Fixed Deposit,dr,201823,rs,-,UPI,Pending,null,PayTM,BOB,+912151494097,REF63748453,Surat,Bill payment
TXN17446,05-05-2023,Anjali Rao,****5290,current,CREDIT,202980,INR,389852.75,Mobile,SUCCESS,Utilities,N/A,Yes Bank,,REF54978645,PUNE,Salary credit
TXN11757,14/05/23,Amit Kumar,7248764126,FD,Credit,Rs.80182.69,INR,427765.02,Mobile,Success,RENT,Zomato,Union Bank,05988192069,REF93259627,BANGALORE,Loan EMI
TXN12860,03 Jun 2023,,AC8376910818,Current,CREDIT,11034.4,Rs.,393907.62,Mobile,REVERSED,Utilities,AMAZON,HDFC,51109-45265,REF21655146,Mumbai,
TXN17943,2024/02/08,Anjali Rao,AC40091497215211,Savings,cr,226068.0/-,inr,178019.29,MOBILE,PENDING,Medical,PhonePe,PNB,10664-60587,REF41540976,Bhubaneswar,Salary credit
txn14558,14-04-2023,Amit Kumar,AC47429057895842,savings,DR,Rs.40402.53,inr,97618.04,ATM,pending,Others,NULL,BOB,,REF35937563,PUNE,Refund
TXN17309,15/10/23,Sanya Malhotra,AC83688932521795,Current,DR,Rs.97075.0,Rs,415225.58,Branch,SUCCESS,Food,DMART,SBI,05612923202,REF61785359,PUNE,Bill payment
TXN17153,03-02-2024,Sunita Devi,0561 1785 29,Current,DR, 143940.0 ,INR,429891.36,Online,Reversed,TRANSFER,PAYTM,Yes Bank,+91-5277474849,REF31135011,Bhubaneswar,ATM cash
TXN13728,"November 23, 2024",Arjun Bose,XXXX9397,Savings,DR,21534,inr,475315.2,pos,FAILED,EMI,Swiggy,Kotak,02146111055,REF94223413,BANGALORE,Bill payment
TXN17385,13-01-2024,Meena Iyer,AC957781223125,current,Credit,"93,880.00",inr,490734.01,UPI,Success,Entertainment,Zomato,ICICI,,REF93500889,PUNE,Refund
TXN13204,"December 05, 2024",Neha Gupta,XXXX4102,Savings,debit,209666.0/-,INR,112457.14,BRANCH,PENDING,ATM Withdrawal,FLIPKART,SBI,N/A,REF61198095,MUMBAI,Test txn
TXN15068,17/05/24,Vikram Mehta,9337 7328 64,Salary,cr,INR 110888.0,INR,187238.71,Branch,Completed,TRANSFER,null,Kotak,49133-16145,REF74715589,BANGALORE,UPI payment
TXN11983,13/02/2023,rahul sharma,513622380137,FD,dr,22789.0,Rs.,194370.34,Mobile,Success,SHOPPING,DMART,PNB,,REF62625104,Kanpur,Self transfer
TXN10240,"May 29, 2023",Ravi Chauhan,XXXX6474,SAVINGS,CREDIT,"153,015.00",rs,180271.41,upi,Reversed,Entertainment,UBER,ICICI,N/A,REF79757366,Nagpur,Loan EMI
TXN11088,31 Oct 2023,Meena Iyer,AC998161538116,SALARY,debit,INR 201610.44,Inr,387732.75,online,Reversed,SHOPPING,NULL,Canara,09312146394,REF62542926,Kolkata,Loan EMI
TXN17133,2024/08/07,Deepak Nair,190449405500,CURRENT,cr,17549,NA,148196.88,branch,PENDING,Entertainment,Swiggy,ICICI,+91-8877654278,REF13342385,Hyderabad,Self transfer
TXN13327,2023/11/27,Pooja Joshi,2206 1525 0191,Fixed Deposit,cr,211722.0/-,null,92540.17,Online,PENDING,Rent,DMart,Kotak,00923936044,REF06605796,Bangalore,Duplicate entry
TXN11946,22/05/24,Deepak Nair,AC287927462268,Current,C,"40,922.00",Rs,14117.49,branch,FAILED,emi,PhonePe,HDFC,96459-62438,REF27715736,Mumbai,
TXN13289,2024/12/02,Kavita Verma,AC5561577235517274,FD,CR,₹88357.0,Inr,NA,POS,PENDING,Grocery,N/A,SBI,1260287007,REF06480232,Surat,Duplicate entry
TXN10282,2023/12/28,Suresh Reddy,8422 2231 0592,savings,C,INR 79270.0,Rs,null,Branch,failed,OTHERS,Myntra,PNB,4929751702,REF40693751,Nagpur,Duplicate entry
TXN13167,08/12/24,Ravi Chauhan,XXXX8105,NULL,Debit,"71,511.00",inr,236087.51,Mobile,Pending,SALARY,BigBazaar,ICICI,04533962599,REF80271522,Cuttack,
TXN16816,"September 06, 2023",null,6567111687,Current,NULL,157574.0/-,Inr,N/A,Mobile,SUCCESS,Salary,PhonePe,PNB,,REF54377045,Nagpur,ATM cash
TXN11309,10-12-2024,Rahul Sharma,AC9010146103,Fixed Deposit,dr,₹148495.0, INR,193550.99,online,pending,INSURANCE,AMAZON,BOB,09050965688,REF72800727,Mumbai,Refund
TXN14195,22/09/2023,Arjun Bose,****3926,SALARY,Debit,64113.0,Rs.,42689.78,Online,REVERSED,EMI,N/A,Union Bank,+916441507958,REF66252871,Kolkata,ATM cash
TXN12699,13-03-2023,Sunita Devi,4321 9792 4761,Current,C, 9406.0 ,Rs.,225024.97,MOBILE,Reversed,SHOPPING,Zomato,ICICI,01508-92298,REF22133704,MUMBAI,Refund
TXN10680,"March 23, 2023",Suresh Reddy,AC95749885582984,Current,CREDIT,68084.0/-, INR,296254.73,MOBILE,success,SALARY,SWIGGY,ICICI,88566-69541,REF71506662,Mumbai,UPI payment
TXN17780,03-14-2024,RAJESH PATEL,AC24219873318590,CURRENT,debit,108166,Inr,191434.27,Branch,pending,RENT,DMART,null,72619-07221,REF29255906,MUMBAI,ATM cash
TXN16629,02 Jul 2023,Meena Iyer,AC04706571367433,current,DEBIT,₹196064.0,INR,322955.59,NEFT,Failed,SHOPPING,Self,Union Bank,N/A,REF30719783,Mumbai,Self transfer
TXN16021,2023/04/03,,627130837414,savings,credit,243145,,298136.26,UPI,REVERSED,Transfer,NA,HDFC,5794060891,REF83734132,Surat,UPI payment
TXN17775,22/01/24,AMIT KUMAR,XXXX8160,SAVINGS,dr,₹185587.0,inr,421821.38,ONLINE,Reversed,Utilities,Myntra,PNB,+91-2876161501,REF15152350,Surat,
TXN10141,19/11/23,Deepak Nair,****1277,Fixed Deposit,debit,Rs.115863.0,Rs.,N/A,Branch,Failed,Utilities,SELF,ICICI,,REF32365199,,Online purchase
TXN16681,12/06/2023,Sanya Malhotra,XXXX4009,savings,dr,₹7219.0,Rs,403700.68,BRANCH,SUCCESS,EMI,Flipkart,Kotak,,REF71819168,Nagpur,Test txn
TXN12327,01 Dec 2024,RAJESH PATEL,1182 0034 09358271,savings,CREDIT, 166094.75 , INR,49125.57,MOBILE,pending,Entertainment,Myntra,PNB,8795797114,REF79461906,BANGALORE,Test txn
TXN14260,05 Oct 2024,AMIT KUMAR,6114 7882 44815642,Current,DR,232712,inr,123251.88,UPI,Completed,Rent,Zomato,AXIS,+911371893276,NA,CHENNAI,Loan EMI
TXN10219,2024/02/04,Rajesh Patel,7228 2005 577848,Fixed Deposit,cr,₹187240.45,Inr,402549.18,Pos,success,Grocery,NA,BOB,80774-06493,REF53686632,Ahmedabad,Online purchase
TXN10757,21/06/2024,Rajesh Patel,5009421410527698,Fixed Deposit,CREDIT,208736.29,Rs,257613.63,Pos,success,INSURANCE,NA,SBI,+91-9867874422,REF85485965,Pune,Duplicate entry
TXN17719,24/01/2024,Neha Gupta,****5702,Current,DR,₹91806.08,Inr,430627.37,POS,SUCCESS,Transfer,Myntra,HDFC,,REF63593867,MUMBAI,Loan EMI
TXN13470,10/07/24,Priya Singh,****0475,Savings,debit,Rs.78249.0,Rs,412888.39,online,FAILED,EMI,Uber,ICICI,+91-2151108809,REF06659356,CHENNAI,
TXN12622,"December 22, 2023",Arjun Bose,0222 7760 218066,savings,debit,₹182536.0,INR ,62338.8,Online,PENDING,Transfer,BigBazaar,Kotak,N/A,REF75423735,CHENNAI,Salary credit
TXN13127,2024/08/09,RAJESH PATEL,XXXX5073,FD,credit,154859.0/-,Rs,65188.82,-,REVERSED,Transfer,Flipkart,SBI,+911200840758,REF27248599,Delhi,UPI payment
,12-08-2023,Ravi Chauhan,AC4831306607505470,SAVINGS,dr,INR 151587.0,,288220.66,Pos,success,Utilities,amazon,PNB,06514220807,NA,NA,
txn10633,07/03/2024,Anjali Rao,AC768297514743,savings,Credit,31023.0/-,INR ,null,pos,failed,GROCERY,NETFLIX,Yes Bank,N/A,REF31555165,Cuttack,
txn10678,29 Dec 2024,RAJESH PATEL,****5954,Fixed Deposit,CR,Rs.108380.0,Rs,189584.57,UPI,REVERSED,Transfer,Swiggy,Canara,+913004023693,REF68943012,CHENNAI,Self transfer
TXN16177,01/07/2024,Rajesh Patel,8363 3479 59,savings,D, 103011.0 ,rs,208705.66,UPI,PENDING,EMI,Reliance Fresh,Kotak,+917295525487,-,Kolkata,Salary credit
TXN11888,2023/12/04,Sunita Devi,AC9924483726877938,CURRENT,DEBIT,213764.8/-,Inr,249433.85,ONLINE,Success,Others,FLIPKART,Yes Bank,,REF04041071,Bangalore,ATM cash
